country,ISO_A3,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Uganda,UGA,5716.0,6977.0,6672.0,15445.0,8795.0,12236.0,9703.0,8685.0,7753.0,7340.0,7095.0,6649.0
Canada,CAN,284925.0,275869.0,261362.0,251361.0,231520.0,211065.0,205998.0,196743.0,180927.0,175910.0,156068.0,151556.0
United States of America,USA,2154834.0,2144446.0,2155448.0,2194993.0,2190198.0,2228887.0,2203313.0,2168459.0,2185140.0,2109932.0,1932139.0,1729806.0
Japan,JPN,333233.0,290595.0,244776.0,205463.0,175728.0,155281.0,148772.0,136750.0,126382.0,115337.0,107313.0,93566.0
Singapore,SGP,1337.0,1237.0,1465.0,1123.0,866.0,836.0,942.0,820.0,637.0,545.0,507.0,311.0
Cyprus,CYP,3155.0,3326.0,2829.0,3068.0,2642.0,2587.0,2504.0,3232.0,3379.0,2953.0,2676.0,2333.0
Bulgaria,BGR,28210.0,25565.0,22379.0,23460.0,22208.0,19980.0,23682.0,24005.0,20272.0,16781.0,17163.0,15327.0
Czech Republic,CZE,68901.0,64695.0,57956.0,53503.0,54925.0,53381.0,54848.0,58758.0,59672.0,55554.0,62384.0,49304.0
Hungary,HUN,46971.0,44679.0,42588.0,39620.0,40846.0,43002.0,37698.0,44250.0,45273.0,46857.0,37688.0,29883.0
Poland,POL,294654.0,266591.0,221020.0,173762.0,141606.0,124066.0,135383.0,140085.0,135611.0,127961.0,118534.0,87765.0
Romania,ROU,12479.0,10002.0,16764.0,17184.0,10829.0,10285.0,11574.0,14197.0,16311.0,19526.0,19573.0,51116.0
Slovakia,SVK,21783.0,26685.0,20828.0,19044.0,17148.0,15159.0,15394.0,14783.0,12884.0,11855.0,11167.0,9427.0
Denmark,DNK,100991.0,90943.0,76865.0,71583.0,78752.0,93607.0,107140.0,96704.0,92937.0,80895.0,78897.0,69617.0
Finland,FIN,27723.0,23300.0,19531.0,18665.0,18343.0,18656.0,19186.0,18576.0,19179.0,18027.0,17168.0,18356.0
Ireland,IRL,25160.0,24913.0,26381.0,24788.0,23603.0,24682.0,26910.0,25420.0,27695.0,28133.0,26218.0,27575.0
Norway,NOR,30755.0,27474.0,25535.0,22674.0,21414.0,22014.0,23676.0,21298.0,17983.0,17391.0,15740.0,14890.0
Sweden,SWE,122700.0,119287.0,113604.0,99718.0,96980.0,94278.0,95824.0,92722.0,94316.0,88066.0,85453.0,88798.0
United Kingdom,GBR,820013.0,680358.0,645068.0,622012.0,583710.0,581584.0,540645.0,522683.0,501048.0,459795.0,443212.0,411454.0
United Kingdom,GBR,17109.0,14147.0,12862.0,11451.0,11634.0,12040.0,12699.0,11852.0,11242.0,9521.0,9125.0,8889.0
United Kingdom,GBR,36746.0,34959.0,31319.0,30580.0,25443.0,25496.0,23774.0,25017.0,24222.0,21515.0,22272.0,20607.0
Croatia,HRV,23483.0,25922.0,21114.0,20321.0,19248.0,17471.0,17080.0,18452.0,19237.0,19219.0,18483.0,15302.0
Greece,GRC,31181.0,26489.0,37595.0,42069.0,49886.0,59027.0,63928.0,80854.0,87142.0,79557.0,67645.0,61366.0
Malta,MLT,682.0,782.0,1618.0,1299.0,1179.0,1450.0,1352.0,1660.0,1684.0,1682.0,1438.0,1624.0
Montenegro,MNE,2319.0,2469.0,2690.0,2287.0,1965.0,1633.0,1673.0,1381.0,1234.0,1383.0,1181.0,951.0
Portugal,PRT,46929.0,46413.0,45088.0,45480.0,44713.0,53751.0,49317.0,50650.0,52086.0,43843.0,38390.0,34612.0
Slovenia,SVN,16947.0,22460.0,20252.0,18107.0,18544.0,15310.0,15510.0,13430.0,13696.0,14106.0,15370.0,13603.0
Belgium,BEL,97007.0,86598.0,86408.0,93249.0,92572.0,93363.0,97121.0,96620.0,103149.0,108109.0,105518.0,101749.0
France,FRA,407585.0,388968.0,355343.0,346044.0,322237.0,307744.0,320418.0,323954.0,341895.0,360587.0,381454.0,376608.0
Germany,DEU,437097.0,443010.0,396125.0,387578.0,394737.0,390367.0,386647.0,397341.0,421243.0,430211.0,437520.0,446073.0
Liechtenstein,LIE,127.0,130.0,101.0,138.0,115.0,107.0,195.0,102.0,98.0,140.0,125.0,222.0
Switzerland,CHE,68551.0,70370.0,61194.0,56706.0,57493.0,55688.0,64268.0,62243.0,65172.0,73714.0,68730.0,63706.0
Australia,AUS,354020.0,308675.0,281994.0,262005.0,249552.0,241760.0,222664.0,208099.0,209140.0,215006.0,194530.0,181875.0
