country,ISO_A3,value
Aruba,ABW,25539.204217042345
Afghanistan,AFG,535.3617958873342
Angola,AGO,3997.1707309779836
Albania,ALB,4232.323688707954
Andorra,AND,42731.09441394283
Arab World,ARB,6425.996302344081
United Arab Emirates,ARE,40852.65573931812
Argentina,ARG,10687.881591983813
Armenia,ARM,3551.392050938316
American Samoa,ASM,10811.068584891436
Antigua and Barbuda,ATG,12999.453090188184
Australia,AUS,55710.217757745326
Austria,AUT,49468.70797025882
Azerbaijan,AZE,6334.024777855047
Burundi,BDI,240.55701952585213
Belgium,BEL,46058.39137741996
Benin,BEN,825.0326556297923
Burkina Faso,BFA,614.6662146448995
Bangladesh,BGD,790.5277579759961
Bulgaria,BGR,7210.069434615163
Bahrain,BHR,22500.691141768762
Bahamas,BHS,28805.79411448369
Bosnia and Herzegovina,BIH,4824.741862472982
Belarus,BLR,6509.432840371911
Belize,BLZ,4514.899562607828
Bermuda,BMU,88329.3792658043
Bolivia,BOL,2247.430260132414
Brazil,BRA,10697.645935146618
Barbados,BRB,16326.561312473199
Brunei Darussalam,BRN,39331.68237828741
Bhutan,BTN,2152.641753287514
Botswana,BWA,6505.643674191354
Central African Republic,CAF,429.8246827932296
Canada,CAN,48374.027836805144
Central Europe and the Baltics,CEB,13263.679102482563
Switzerland,CHE,78031.01989175651
Channel Islands,CHI,73569.644964552
Chile,CHL,13160.6322279079
China,CHN,5162.314118413154
Cote d'Ivoire,CIV,1277.077555246311
Cameroon,CMR,1391.965786074425
Democratic Republic of the Congo,COD,375.60253077348466
Congo,COG,2751.1590175071874
Colombia,COL,6570.463848650725
Comoros,COM,796.2670319292239
Cabo Verde,CPV,3459.487632969865
Costa Rica,CRI,8551.650073921039
Caribbean small states,CSS,9513.168800464671
Cuba,CUB,6004.297550890687
Curacao,CUW,0
Cayman Islands,CYM,0
Cyprus,CYP,30782.93641006549
Czech Republic,CZE,20216.259765146347
Germany,DEU,44560.166664355274
Djibouti,DJI,1360.1198950286487
Dominica,DMA,6753.135369365554
Denmark,DNK,60376.89429999344
Dominican Republic,DOM,5530.905590514299
Algeria,DZA,4888.470140244074
East Asia & Pacific (excluding high income),EAP,4419.029914567421
Early-demographic dividend,EAR,2956.45350243457
East Asia & Pacific,EAS,7972.687601452471
Europe & Central Asia (excluding high income),ECA,8688.422242132485
Europe & Central Asia,ECS,25029.9531980869
Ecuador,ECU,5021.839450120744
Egypt,EGY,2626.9917841931015
Euro area,EMU,39269.6416838216
Eritrea,ERI,427.81821366743134
Spain,ESP,31324.17879161125
Estonia,EST,17243.05373683969
Ethiopia,ETH,398.3025910184658
European Union,EUU,35536.0234462291
Fragile and conflict affected situations,FCS,1529.8698904357736
Finland,FIN,49094.8018288553
Fiji,FJI,4250.272814559783
France,FRA,42415.41865368396
Faroe Islands,FRO,50135.51836826665
Micronesia,FSM,2846.125449482011
Gabon,GAB,9333.36559669296
United Kingdom,GBR,43345.97180277741
Georgia,GEO,3488.7628317587814
Ghana,GHA,1397.924356947265
Gibraltar,GIB,0
Guinea,GIN,654.2406524443107
Gambia,GMB,522.0143841284814
Guinea-Bissau,GNB,585.2827145546621
Equatorial Guinea,GNQ,19334.132416617886
Greece,GRC,26156.014050940263
Grenada,GRD,7693.97981918447
Greenland,GRL,45481.15865033877
Guatemala,GTM,3046.6872906569265
Guam,GUM,31040.50113008484
Guyana,GUY,3240.7501128109525
High income,HIC,39470.75709059827
Hong Kong China,HKG,34493.68089251661
Honduras,HND,1971.3716282232524
Heavily indebted poor countries (HIPC),HPC,777.0024225145852
Croatia,HRV,14026.613737816026
Haiti,HTI,721.1641080888123
Hungary,HUN,13830.616845881012
IBRD only,IBD,4755.769424580053
IDA & IBRD total,IBT,3877.8609290242553
IDA total,IDA,1083.0904640930567
IDA blend,IDB,1582.41515854604
Indonesia,IDN,2977.2548019617093
IDA only,IDX,830.8953049509693
Isle of Man,IMN,77230.79691105058
India,IND,1297.8244599312156
Not classified,INX,0
Ireland,IRL,53976.0424345681
Islamic Republic of Iran,IRN,6215.280758780251
Iraq,IRQ,5252.7733720718215
Iceland,ISL,49772.08956949466
Israel,ISR,31602.472215949347
Italy,ITA,36885.11739849946
Jamaica,JAM,4834.141129700124
Jordan,JOR,3632.20280483071
Japan,JPN,41914.08893931814
Kazakhstan,KAZ,10279.9106544491
Kenya,KEN,1043.547120068719
Kyrgyz Republic,KGZ,1037.9361662633628
Cambodia,KHM,855.3023157660311
Kiribati,KIR,1545.1891117936475
St. Kitts and Nevis,KNA,14398.185698452187
Republic of Korea,KOR,23251.271951788112
Kuwait,KWT,46044.95974393119
Latin America & Caribbean (excluding high income),LAC,8454.962806595415
Lao PDR,LAO,1315.6211846426465
Lebanon,LBN,8172.248707040078
Liberia,LBR,347.52943664131703
Libya,LBY,10517.152622111127
St. Lucia,LCA,8046.679747656718
Latin America & Caribbean,LCN,8942.78979851774
Least developed countries: UN classification,LDC,814.2811998877585
Low income,LIC,664.49587751529
Liechtenstein,LIE,150095.76437813602
Sri Lanka,LKA,2821.585389985731
Lower middle income,LMC,1671.3575422695562
Low & middle income,LMY,3710.6497385780094
Lesotho,LSO,1123.885264335509
Late-demographic dividend,LTE,6750.246002860224
Lithuania,LTU,14002.446171693624
Luxembourg,LUX,110479.66821910677
Latvia,LVA,14026.53581305015
Macao,MAC,62145.6962431693
St. Martin (French part),MAF,0
Morocco,MAR,2911.4670647400285
Monaco,MCO,164302.745703109
Moldova,MDA,1823.6651288248515
Madagascar,MDG,436.25720404928825
Maldives,MDV,7259.518740293836
Middle East & North Africa,MEA,7561.1272063641445
Mexico,MEX,9602.729603889957
Marshall Islands,MHL,3221.5051954561964
Middle income,MIC,4079.5379308071037
The former Yugoslav Republic of Macedonia,MKD,4794.959403137695
Mali,MLI,744.4074313736095
Malta,MLT,22187.779547843027
Myanmar,MMR,947.1360348649864
Middle East & North Africa (excluding high income),MNA,4160.031792482019
Montenegro,MNE,6902.970919857469
Mongolia,MNG,3105.8249570132075
Northern Mariana Islands,MNP,14837.86701659865
Mozambique,MOZ,516.2759252577288
Mauritania,MRT,1245.7324677753363
Mauritius,MUS,8525.3019554587
Malawi,MWI,393.3683163503151
Malaysia,MYS,9428.943595766332
North America,NAC,49909.70948700878
Namibia,NAM,4976.223359284721
New Caledonia,NCL,0
Niger,NER,368.73095101324816
Nigeria,NGA,2180.9484123034003
Nicaragua,NIC,1643.9702092245175
Netherlands,NLD,52144.49228316747
Norway,NOR,94081.85128798317
Nepal,NPL,588.6747065877117
Nauru,NRU,6575.6950457802795
New Zealand,NZL,36449.73484118592
OECD members,OED,37004.34355170151
Oman,OMN,19850.546978169936
Other small states,OSS,13534.572078668938
Pakistan,PAK,1139.1671820972356
Panama,PAN,9214.308371070556
Peru,PER,5280.399459324585
Philippines,PHL,2260.569576059455
Palau,PLW,9921.40800791805
Papua New Guinea,PNG,2243.7912909417173
Poland,POL,13068.315441743625
Pre-demographic dividend,PRE,1402.5643038059263
Puerto Rico,PRI,26685.74115971659
Democratic People's Republic of Korea,PRK,0
Portugal,PRT,22583.51885460574
Paraguay,PRY,3529.2064179884546
West Bank and Gaza,PSE,2392.2552421859173
Pacific island small states,PSS,3234.2918941590888
Post-demographic dividend,PST,40734.29671482259
French Polynesia,PYF,0
Qatar,QAT,78928.49175482926
Romania,ROU,9105.784515337136
Russian Federation,RUS,12486.637039865356
Rwanda,RWA,588.422790159569
South Asia,SAS,1228.6938441895975
Saudi Arabia,SAU,21305.938740947586
Sudan,SDN,1600.3621789117037
Senegal,SEN,1037.3828625991698
Singapore,SGP,48173.92348441088
Solomon Islands,SLB,1550.1101463390887
Sierra Leone,SLE,497.4301204464162
El Salvador,SLV,3178.182814120776
San Marino,SMR,69405.69547054073
Somalia,SOM,490.0239470228255
Serbia,SRB,6003.718752922321
Sub-Saharan Africa (excluding high income),SSA,1529.2246080875452
South Sudan,SSD,1335.1809796441376
Sub-Saharan Africa,SSF,1530.2780084256187
Small states,SST,12113.603571220501
Sao Tome and Principe,STP,1296.4556795239205
Suriname,SUR,8125.885858726362
Slovak Republic,SVK,17513.110001856752
Slovenia,SVN,24311.556500985575
Sweden,SWE,55443.16815636633
Eswatini,SWZ,3422.3266836600696
Sint Maarten (Dutch part),SXM,0
Seychelles,SYC,12180.254146973863
Syrian Arab Republic,SYR,2058.03520939435
Turks and Caicos Islands,TCA,0
Chad,TCD,925.8994017858245
East Asia & Pacific (IDA & IBRD countries),TEA,4466.269537520444
Europe & Central Asia (IDA & IBRD countries),TEC,9118.298264971487
Togo,TGO,530.9148385248013
Thailand,THA,5138.935924232449
Tajikistan,TJK,820.5945000149552
Turkmenistan,TKM,5321.566139287948
Latin America & the Caribbean (IDA & IBRD countries),TLA,8850.399599202086
Timor-Leste,TLS,4025.81175442747
Middle East & North Africa (IDA & IBRD countries),TMN,4180.487244460646
Tonga,TON,3745.6680955554525
South Asia (IDA & IBRD),TSA,1228.6938441895975
Sub-Saharan Africa (IDA & IBRD countries),TSS,1530.2780084256187
Trinidad and Tobago,TTO,18357.32853550698
Tunisia,TUN,4152.782416775277
Turkey,TUR,11000.072127364332
Tuvalu,TUV,3153.303744961355
Tanzania,TZA,743.1704179961565
Uganda,UGA,571.3196590424699
Ukraine,UKR,3378.727704345326
Upper middle income,UMC,6744.110618644848
Uruguay,URY,12537.882853976209
United States,USA,50070.42657644328
Uzbekistan,UZB,1470.8095097677515
St. Vincent and the Grenadines,VCT,6313.465668633565
Venezuela,VEN,12006.70383880245
British Virgin Islands,VGB,0
Virgin Islands (U.S.),VIR,38472.215331222214
Vietnam,VNM,1460.8988109954043
Vanuatu,VUT,2931.244902436165
World,WLD,9867.009823621613
Samoa,WSM,3699.449101442695
Kosovo,XKX,3475.3792280122325
Yemen,YEM,1325.0250685957
South Africa,ZAF,6688.364249388643
Zambia,ZMB,1505.551485672299
Zimbabwe,ZWE,741.6919002728418
